pfam_id,clan_id,description
PF09968,CL0044,Uncharacterized protein domain (DUF2202)
PF09969,,Uncharacterized conserved protein (DUF2203)
PF09970,CL0260,Nucleotidyl transferase of unknown function (DUF2204)
PF09971,,Predicted membrane protein (DUF2206)
PF09972,CL0672,Predicted membrane protein (DUF2207) N-terminal domain
PF09973,,Predicted membrane protein (DUF2208)
PF09974,,Uncharacterized protein conserved in archaea (DUF2209)
PF09976,CL0020,Tetratricopeptide repeat-like domain
PF09977,CL0496,Putative Tad-like Flp pilus-assembly
PF09979,CL0201,Uncharacterized protein conserved in bacteria (DUF2213)
PF09980,CL0430,Predicted membrane protein (DUF2214)
PF09981,,Uncharacterized protein conserved in bacteria (DUF2218)
PF09982,CL0193,Outer membrane protein LpxR
PF09983,CL0413,"Wadjet protein JetD, C-terminal"
PF09984,CL0165,Single cache domain 4
PF09985,CL0559,"C-terminal binding-module, SLH-like, of glucodextranase"
PF09986,CL0020,Uncharacterized protein conserved in bacteria (DUF2225)
PF09987,,Uncharacterized protein conserved in archaea (DUF2226)
PF09988,CL0368,Uncharacterized metal-binding protein (DUF2227)
PF09989,CL0108,CoA enzyme activase uncharacterised domain (DUF2229)
PF09990,CL0328,Predicted membrane protein (DUF2231)
PF09991,,Predicted membrane protein (DUF2232)
PF09992,,Phosphodiester glycosidase
PF09994,CL0028,"T6SS, Phospholipase effector Tle1-like, catalytic domain"
PF09995,CL0090,"ER-bound oxygenase mpaB/B'/Rubber oxygenase, catalytic domain"
PF09996,,Uncharacterized protein conserved in bacteria (DUF2237)
PF09997,,Predicted membrane protein (DUF2238)
PF09998,,Uncharacterized protein conserved in bacteria (DUF2239)
PF09999,,Uncharacterized protein conserved in archaea (DUF2240)
PF10000,CL0070,ACT domain
PF10001,,Uncharacterized protein conserved in bacteria (DUF2242)
PF10002,,Predicted membrane protein (DUF2243)
PF10003,CL0266,Integral membrane protein (DUF2244)
PF10004,,Uncharacterized protein conserved in bacteria (DUF2247)
PF10005,CL0167,zinc-ribbon domain
PF10006,CL0397,Uncharacterized conserved protein (DUF2249)
PF10007,CL0123,Uncharacterized protein conserved in archaea (DUF2250)
PF10008,CL0004,Uncharacterized protein conserved in bacteria (DUF2251)
PF10009,CL0016,Uncharacterized protein conserved in bacteria (DUF2252)
PF10011,CL0105,Predicted membrane protein (DUF2254)
PF10012,CL0336,Uncharacterized protein conserved in bacteria (DUF2255)
PF10013,CL0175,Uncharacterized protein conserved in bacteria (DUF2256)
PF10014,CL0029,2OG-Fe dioxygenase
PF10015,,"ThermoDBP-related, archaea"
PF10016,,Predicted secreted protein (DUF2259)
PF10017,CL0063,"Histidine-specific methyltransferase, SAM-dependent"
PF10018,,Vitamin-D-receptor interacting Mediator subunit 4
PF10020,,Uncharacterized protein conserved in bacteria (DUF2262)
PF10021,CL0223,"Microbial-type PARG, catalytic domain"
PF10022,CL0059,Uncharacterized protein conserved in bacteria (DUF2264)
PF10023,CL0126,Putative aminopeptidase
PF10025,,Uncharacterized conserved protein (DUF2267)
PF10026,CL0126,Predicted Zn-dependent protease (DUF2268)
PF10027,CL0430,Predicted integral membrane protein (DUF2269)
PF10028,,Predicted integral membrane protein (DUF2270)
PF10029,CL0159,Predicted periplasmic protein (DUF2271)
PF10030,CL0125,Uncharacterized protein conserved in bacteria (DUF2272)
PF10031,,Small integral membrane protein (DUF2273)
PF10032,,Phosphate transport (Pho88)
PF10033,CL0651,Autophagy-related protein 13
PF10034,CL0111,Q-cell neuroblast polarisation
PF10035,CL0089,Uncharacterized protein conserved in bacteria (DUF2179)
PF10036,,"RNA transcription, translation and transport factor protein"
PF10037,CL0020,Mitochondrial 28S ribosomal protein S27
PF10038,,Protein of unknown function (DUF2274)
PF10039,,Predicted integral membrane protein (DUF2275)
PF10040,CL0362,CRISPR-associated endoribonuclease Cas6
PF10041,,Uncharacterized conserved protein (DUF2277)
PF10042,,Uncharacterized conserved protein (DUF2278)
PF10043,,Predicted periplasmic lipoprotein (DUF2279)
PF10044,,Retinal tissue protein
PF10045,,Uncharacterized conserved protein (DUF2280)
PF10046,,Biogenesis of lysosome-related organelles complex-1 subunit 2 
PF10047,CL0136,Protein of unknown function (DUF2281)
PF10048,,Predicted integral membrane protein (DUF2282)
PF10049,,Protein of unknown function (DUF2283)
PF10050,,Predicted metal-binding protein (DUF2284)
PF10051,,Uncharacterized protein conserved in archaea (DUF2286)
PF10052,,Protein of unknown function (DUF2288)
PF10053,,Uncharacterized conserved protein (DUF2290)
PF10054,,Predicted periplasmic lipoprotein (DUF2291)
PF10055,,Uncharacterized small protein (DUF2292)
PF10056,,Uncharacterized conserved protein (DUF2293)
PF10057,,Na+-translocating membrane potential-generating system (MpsC)
PF10058,CL0167,"ER junction formation factor lunapark, zinc ribbon finger"
PF10060,CL0111,Uncharacterized membrane protein (DUF2298)
PF10061,CL0097,Uncharacterized conserved protein (DUF2299)
PF10062,,Predicted secreted protein (DUF2300)
PF10063,,Uncharacterized integral membrane protein (DUF2301)
PF10065,,Uncharacterized conserved protein (DUF2303)
PF10066,,Uncharacterized conserved protein (DUF2304)
PF10067,,Predicted membrane protein (DUF2306)
PF10069,,Sensory domain in DIguanylate Cyclases and Two-component system
PF10070,,Probable inorganic carbon transporter subunit DabA
PF10071,,"Zn-ribbon-containing, possibly nucleic-acid-binding protein (DUF2310)"
PF10073,,"GapR-like, DNA-binding domain"
PF10074,CL0123,"T6SS, Transcription factor, DNA binding domain"
PF10075,CL0123,CSN8/PSMD8/EIF3K family
PF10076,,"Bacteriophage Mu-like, Gp48"
PF10077,,Uncharacterized protein conserved in bacteria (DUF2314)
PF10078,CL0123,Uncharacterized protein conserved in bacteria (DUF2316)
PF10079,CL0039,"Bacillithiol biosynthesis BshC, N-terminal Rossmann-like domain"
PF10080,,Membrane iron-sulfur containing protein FtrD-like
PF10081,CL0028,Alpha/beta-hydrolase family
PF10082,CL0193,Putative beta-barrel porin 2
PF10083,,Uncharacterized protein conserved in bacteria (DUF2321)
PF10084,,Uncharacterized protein conserved in bacteria (DUF2322)
PF10086,CL0472,YhfC intramembrane metalloprotease
PF10087,,Uncharacterized protein conserved in bacteria (DUF2325)
PF10088,CL0023,Uncharacterised protein conserved in bacteria (DUF2326)
PF10090,CL0025,Histidine phosphotransferase C-terminal domain
PF10091,CL0059,Putative glucoamylase
PF10092,,Uncharacterized protein conserved in bacteria (DUF2330)
PF10093,,Elongation-Factor P (EF-P) rhamnosyltransferase EarP
PF10094,,Uncharacterized protein conserved in bacteria (DUF2332)
PF10095,,Uncharacterized protein conserved in bacteria (DUF2333)
PF10096,CL0158,Uncharacterized protein conserved in bacteria (DUF2334)
PF10097,,Predicted membrane protein (DUF2335)
PF10098,,Uncharacterised protein conserved in bacteria (DUF2336)
PF10099,,"Anti-sigma-K factor rskA, C-terminal"
PF10100,,Staphylopine dehydrogenase
PF10101,,Predicted membrane protein (DUF2339)
PF10102,,Domain of unknown function (DUF2341)
PF10103,CL0126,Zincin-like metallopeptidase
PF10104,,Di-sulfide bridge nucleocytoplasmic transport domain
PF10105,CL0649,Uncharacterized protein conserved in bacteria (DUF2344)
PF10106,,Uncharacterized protein conserved in bacteria (DUF2345)
PF10107,CL0236,Endonuclease related to archaeal Holliday junction resolvase
PF10108,CL0219,Predicted 3'-5' exonuclease related to the exonuclease domain of PolB
PF10109,CL0567,"Phage tail assembly chaperone proteins, E, or 41 or 14"
PF10110,CL0855,Membrane domain of glycerophosphoryl diester phosphodiesterase
PF10111,CL0110,Glycosyltransferase like family 2
PF10112,,5-bromo-4-chloroindolyl phosphate hydrolysis protein
PF10113,,"FeGP cofactor biosynthesis protein, fibrillarin family"
PF10114,CL0165,Sensory domain found in PocR
PF10115,,Transcriptional activator HlyU
PF10116,CL0267,Protein required for attachment to host cells
PF10117,CL0236,McrBC 5-methylcytosine restriction system component
PF10118,,Predicted metal-dependent hydrolase
PF10119,,Predicted methyltransferase regulatory domain
PF10120,,Thiamine-phosphate synthase ThiN
PF10122,CL0167,Mu-like prophage protein Com
PF10123,,Mu-like prophage I protein
PF10124,CL0373,Mu-like prophage major head subunit gpT
PF10125,CL0425,"NADH dehydrogenase I, subunit N related protein"
PF10126,CL0089,"Uncharacterized protein, homolog of nitrogen regulatory protein PII"
PF10127,CL0260,RNA repair pathway DNA polymerase beta family
PF10128,CL0063,Glucose-6-phosphate dehydrogenase subunit N-terminal domain
PF10129,CL0316,OpgC protein
PF10130,CL0280,PIN domain
PF10131,CL0111,6-pyruvoyl-tetrahydropterin synthase related domain; membrane protein
PF10133,,CO dehydrogenase accessory protein CooT
PF10134,CL0123,Replication initiator protein A
PF10135,,Rod binding protein
PF10136,CL0716,Site-specific recombinase
PF10137,CL0173,"CAP12/Pycsar effector protein, TIR domain"
PF10138,CL0128,vWA found in TerF C terminus 
PF10139,,Putative bacterial virulence factor
PF10140,CL0016,"WXG100 protein secretion system (Wss), protein YukC"
PF10141,,"Single-strand DNA-specific exonuclease, C terminal domain"
PF10142,CL0028,PhoPQ-activated pathogenicity-related protein
PF10143,,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"
PF10144,CL0165,Bacterial virulence factor haemolysin
PF10145,,Phage-related minor tail protein
PF10146,,Zinc finger-containing protein 
PF10147,,Growth arrest and DNA-damage-inducible proteins-interacting protein 1
PF10148,,"Schwannomin-interacting protein 1, C-terminal"
PF10149,,Transmembrane protein 231
PF10150,,Ribonuclease E/G family
PF10151,,"TMEM214, C-terminal, caspase 4 activator"
PF10152,,Subunit CCDC53 of WASH complex
PF10153,,rRNA-processing protein Efg1
PF10154,CL0223,Ferry endosomal RAB5 effector complex subunit 3
PF10155,,CCR4-NOT transcription complex subunit 11
PF10156,,Subunit 17 of Mediator complex
PF10157,,BLOC-1-related complex sub-unit 6 C-terminal helix
PF10158,,Tumour suppressor protein
PF10159,,Multiple myeloma tumor-associated
PF10160,CL0192,Predicted membrane protein
PF10161,,Putative mitochondrial precursor protein
PF10162,CL0268,G8 domain
PF10163,,Transcription factor e(y)2
PF10164,,Brain protein I3
PF10165,,Guanine nucleotide exchange factor synembryn
PF10166,,Uncharacterised conserved protein (DUF2368)
PF10167,,BLOC-1-related complex sub-unit 8
PF10168,CL0186,Nuclear pore component
PF10169,CL0820,LLP homolog
PF10170,,Cysteine-rich domain
PF10171,,Translocase of the Inner Mitochondrial membrane 29
PF10172,,Det1 complexing ubiquitin ligase
PF10173,,Mitochondrial K+-H+ exchange-related
PF10174,,RIM-binding protein of the cytomatrix active zone
PF10175,,M-phase phosphoprotein 6
PF10176,,NEDD4/Bsd2
PF10177,,Uncharacterised conserved protein (DUF2371)
PF10178,CL0765,Proteasome assembly chaperone 3
PF10179,CL0159,"Neuron-derived neurotrophic factor, first Fn(III) domain"
PF10180,,WKF domain
PF10181,,"GPI-GlcNAc transferase complex, PIG-H component"
PF10182,CL0321,Flo11 domain
PF10183,,ESSS subunit of NADH:ubiquinone oxidoreductase (complex I) 
PF10184,CL0051,Uncharacterized conserved protein (DUF2358)
PF10185,,Chaperone for wingless signalling and trafficking of LDL receptor
PF10186,CL0551,Vacuolar sorting 38 and autophagy-related subunit 14
PF10187,,"FAM192A/Fyv6, N-terminal domain"
PF10188,,Organic solute transport protein 1
PF10189,CL0020,Integrator complex subunit 3 N-terminal 
PF10190,,Putative transmembrane protein 170
PF10191,CL0020,Golgi complex component 7 (COG7)
PF10192,CL0192,"GPR180/TMEM145, transmembrane domain"
PF10193,,Telomere length regulation protein
PF10195,,DNA-binding nuclear phosphoprotein p8
PF10197,,N-terminal domain of CBF1 interacting co-repressor CIR
PF10198,,Histone acetyltransferases subunit 3
PF10199,,Alpha and gamma adaptin binding protein p34
PF10200,CL0351,"NADH:ubiquinone oxidoreductase, NDUFS5-15kDa"
PF10203,,Cytochrome c oxidase assembly protein PET191
PF10204,,Dual oxidase maturation factor
PF10205,,Predicted coiled-coil domain-containing protein
PF10206,,"Mitochondrial F1F0-ATP synthase, subunit f"
PF10208,CL0306,"ARMET, C-terminal"
PF10209,,Uncharacterized conserved protein (DUF2340)
PF10210,,Mitochondrial 28S ribosomal protein S32
PF10211,,Axonemal dynein light chain
PF10212,,"Protein phosphatase 1 regulatory subunit 21, six-helix bundle"
PF10213,CL0337,Mitochondrial ribosomal subunit protein 
PF10214,CL0186,"Rrn6, beta-propeller"
PF10215,,Oligosaccaryltransferase  
PF10216,,CO2 hydration protein (ChpXY)
PF10217,,Uncharacterized conserved protein (DUF2039)
PF10218,,SREBP regulating gene protein
PF10220,,Smg8_Smg9 
PF10221,,Cell cycle and development regulator Mat89Bb
PF10222,,Uncharacterized conserved protein (DUF2152)
PF10223,CL0036,Menorin
PF10224,,Short coiled-coil protein
PF10225,,NEMP family 
PF10226,,CCDC85 family
PF10228,,Histone PARylation factor 1
PF10229,CL0529,Methylmalonic aciduria and homocystinuria type D protein
PF10230,CL0028,Lipid-droplet associated hydrolase
PF10231,,Cytochrome c oxidase assembly factor 8
PF10232,,Mediator of RNA polymerase II transcription complex subunit 8
PF10233,,Uncharacterized conserved protein CG6151-P
PF10234,,Clusterin-associated protein-1
PF10235,,Microtubule-associated protein CRIPT
PF10236,CL0023,Mitochondrial ribosomal death-associated protein 3
PF10237,CL0063,Probable N6-adenine methyltransferase
PF10238,,E2F-associated phosphoprotein
PF10239,,Protein of unknown function (DUF2465)
PF10240,,Multivesicular body subunit 12
PF10241,,Uncharacterized conserved protein
PF10242,CL0375,Lipoma HMGIC fusion partner-like protein
PF10243,CL0188,Microtubule-binding protein MIP-T3 CH-like domain
PF10244,,Mitochondrial ribosomal subunit
PF10245,,Mitochondrial 28S ribosomal protein S22
PF10246,CL0021,Mitochondrial ribosomal protein MRP-S35
PF10247,CL0500,Reactive mitochondrial oxygen species modulator 1
PF10248,,Myelodysplasia-myeloid leukemia factor 1-interacting protein
PF10249,,NADH-ubiquinone oxidoreductase subunit 10
PF10250,CL0113,GDP-fucose protein O-fucosyltransferase
PF10251,,Presenilin enhancer-2 subunit of gamma secretase
PF10252,,Casein kinase substrate phosphoprotein PP28
PF10253,,"Mitotic checkpoint regulator, MAD2B-interacting"
PF10254,,PACS-1 cytosolic sorting protein
PF10255,CL0020,RNA polymerase I-associated factor PAF67
PF10256,,Golgin subfamily A member 7/ERF4 family
PF10257,CL0020,Retinoic acid induced 16-like protein
PF10258,,"Phosphorylated adapter RNA export protein, RNA-binding domain"
PF10259,,Rogdi leucine zipper containing protein
PF10260,,Uncharacterized conserved domain (SAYSvFN)
PF10261,CL0525,Fat storage-inducing transmembrane protein
PF10262,CL0172,Rdx family
PF10263,CL0126,SprT-like family
PF10264,CL0123,Winged helix Storkhead-box1 domain
PF10265,,Mitoguardin
PF10266,,Hereditary spastic paraplegia protein strumpellin
PF10267,,Predicted transmembrane and coiled-coil 2 protein
PF10268,,Predicted transmembrane protein 161AB
PF10269,,Transmembrane Fragile-X-F protein 
PF10270,,Membrane magnesium transporter
PF10271,,Putative transmembrane protein
PF10272,,Putative transmembrane protein precursor
PF10273,,Pre-rRNA-processing protein TSR2
PF10274,CL0020,Parkin co-regulated protein
PF10275,CL0125,Peptidase C65 Otubain
PF10276,,Zinc-finger domain
PF10277,CL0412,Frag1/DRAM/Sfk1 family
PF10278,,Mediator of RNA pol II transcription subunit 19 
PF10279,,Latarcin precursor
PF10280,,Mediator complex protein 
PF10281,,Putative nuclear envelope organisation protein
PF10282,CL0186,"Lactonase, 7-bladed beta-propeller"
PF10283,,PBZ domain
PF10284,,Luciferase helical bundle domain
PF10285,CL0116,Luciferase catalytic domain
PF10287,CL0004,"Cell wall protein YJL171C/Tos1, C-terminal"
PF10288,,Cytoplasmic tRNA 2-thiolation protein 2
PF10290,,"Cell wall protein YJL171C/Tos1, N-terminal"
PF10291,CL0448,Muniscin C-terminal mu homology domain
PF10292,CL0192,Serpentine type 7TM GPCR receptor class ab chemoreceptor
PF10294,CL0063,Lysine methyltransferase
PF10295,,Uncharacterised protein (DUF2406)
PF10296,CL0648,Maintenance of mitochondrial morphology protein 1
PF10297,,Minimal binding motif of Hap4 for binding to Hap2/3/5   
PF10298,CL0324,WhiA N-terminal LAGLIDADG-like domain
PF10300,CL0020,Iml2/Tetratricopeptide repeat protein 39
PF10302,CL0072,"DSC E3 ubiquitin ligase complex subunit 3, ubiquitin-like domain"
PF10303,,Protein of unknown function (DUF2408)
PF10304,CL0020,Required for nuclear transport of RNA pol II C-terminus 2
PF10306,,Hypothetical protein FLILHELTA
PF10307,CL0137,HAD domain family 1 in Swiss Army Knife RNA repair proteins
PF10309,,Nuclear cap-binding protein subunit 3 
PF10310,,Family of unknown function (DUF5427)
PF10311,,Increased loss of mitochondrial DNA protein 1
PF10312,,Conserved mid region of cactin
PF10313,CL0186,Uncharacterised protein domain (DUF2415)
PF10315,,Altered inheritance of mitochondria protein 19 
PF10316,CL0192,Serpentine type 7TM GPCR chemoreceptor Srbc 
PF10317,CL0192,Serpentine type 7TM GPCR chemoreceptor Srd
PF10318,CL0192,Serpentine type 7TM GPCR chemoreceptor Srh
PF10319,CL0192,Serpentine type 7TM GPCR chemoreceptor Srj
PF10320,CL0192,Serpentine type 7TM GPCR chemoreceptor Srsx
PF10321,CL0192,Serpentine type 7TM GPCR chemoreceptor Srt
PF10322,CL0192,Serpentine type 7TM GPCR chemoreceptor Sru
PF10323,CL0192,Serpentine type 7TM GPCR chemoreceptor Srv
PF10324,CL0192,Serpentine type 7TM GPCR chemoreceptor Srw
PF10325,CL0192,Serpentine type 7TM GPCR chemoreceptor Srz
PF10326,CL0192,Serpentine type 7TM GPCR chemoreceptor Str
PF10327,CL0192,Serpentine type 7TM GPCR chemoreceptor Sri
PF10328,CL0192,Serpentine type 7TM GPCR chemoreceptor Srx
PF10329,,Region of unknown function (DUF2417)
PF10330,,Putative Sin3 binding protein
PF10332,,Protein of unknown function (DUF2418)
PF10333,,GPI-Mannosyltransferase II co-activator
PF10334,CL0307,Aromatic acid exporter family member 2
PF10335,CL0291,Putative nucleotidyltransferase substrate binding domain
PF10336,,Protein of unknown function (DUF2420)
PF10337,CL0307,"Putative ER transporter, 6TM, N-terminal"
PF10338,CL0820,"YBL028C ribosome biogenesis factor, N-terminal domain"
PF10339,,Yeast-specific zinc responsive
PF10340,CL0028,Steryl acetyl hydrolase
PF10341,CL0021,"Shelterin complex subunit, TPP1/ACD"
PF10342,CL0159,Kre9/KNH-like N-terminal Ig-like domain
PF10343,,Queuosine salvage protein
PF10344,CL0760,Hobbit/FMP27/BTLP2 family
PF10345,CL0020,Cohesin loading factor
PF10346,,Conidiation protein 6
PF10348,CL0328,Domain of unknown function (DUF2427)
PF10350,CL0020,"THADA/TRM732, DUF2428"
PF10353,,Protein of unknown function (DUF2430)
PF10354,CL0063,rRNA (uridine-N3-)-methyltransferase BTM5-like
PF10355,,"Protein YTP1-like, C-terminal"
PF10356,CL0236,Required for respiratory growth protein 7
PF10357,CL0123,KIN17 WH-like domain
PF10358,CL0154,N-terminal C2 in EEIG1 and EHBP1 proteins
PF10360,,Protein of unknown function (DUF2433)
PF10361,,Protein of unknown function (DUF2434)
PF10363,CL0020,Required for nuclear transport of RNA pol II C-terminus 1
PF10364,,Putative capsular polysaccharide synthesis protein
PF10365,CL0159,Domain of unknown function (DUF2436)
PF10366,CL0020,Vacuolar sorting protein 39 domain 1
PF10367,CL0229,Vacuolar sorting protein 39 C-terminal zinc finger domain
PF10368,,Putative cell-wall binding lipoprotein
PF10369,CL0070,Small subunit of acetolactate synthase
PF10370,,"Rv2993c-like, N-terminal"
PF10371,,Domain of unknown function
PF10372,,"Diadenylate cyclase CdaS, N-terminal"
PF10373,CL0020,Est1 DNA/RNA binding domain
PF10374,CL0020,Telomerase activating protein Est1
PF10375,CL0810,GRAB domain 
PF10376,,Double-strand recombination repair protein  
PF10377,,Autophagy-related protein 11
PF10378,,Putative RRM domain  
PF10379,,Virulence protein nec1
PF10380,,Transcription factor CRF1
PF10382,,"DNA helicase ZGRF1-like, N-terminal domain"
PF10383,CL0010,Transcription-silencing protein Clr2   
PF10384,,Centromere protein Scm3
PF10385,,RNA polymerase beta subunit external 1 domain
PF10386,CL0084,Protein of unknown function (DUF2441)
PF10387,,Protein of unknown function (DUF2442)
PF10388,CL0165,EAL-domain associated signalling protein domain
PF10390,CL0123,RNA polymerase II elongation factor ELL  
PF10391,CL0198,Fingers domain of DNA polymerase lambda
PF10392,CL0020,"Conserved oligomeric Golgi complex subunit 5, N-terminal"
PF10393,,Trimeric coiled-coil oligomerisation domain of matrilin
PF10394,CL0361,Histone acetyl transferase HAT1 N-terminus
PF10395,CL0186,"Utp8, N-terminal beta propeller"
PF10396,CL0289,GTP-binding protein TrmE N-terminus
PF10397,,Adenylosuccinate lyase C-terminus
PF10398,,Protein of unknown function (DUF2443)
PF10399,CL0300,Ubiquitinol-cytochrome C reductase Fe-S subunit TAT signal
PF10400,CL0123,Virulence activator alpha C-term
PF10401,CL0357,Interferon-regulatory factor 3
PF10403,CL0700,Rad4 beta-hairpin domain 1
PF10404,CL0700,Rad4 beta-hairpin domain 2
PF10405,CL0123,Rad4 beta-hairpin domain 3
PF10406,,Transcription factor TFIID complex subunit 8 C-term 
PF10407,,Cdc14 phosphatase binding protein N-terminus   
PF10408,,Ubiquitin elongating factor core
PF10409,CL0154,C2 domain of PTEN tumour-suppressor protein
PF10410,,DnaB-helicase binding domain of primase
PF10411,,Disulfide bond isomerase protein N-terminal domain
PF10412,CL0023,Type IV secretion-system coupling protein DNA-binding domain
PF10413,,Amino terminal of the G-protein receptor rhodopsin
PF10414,,Sirohaem synthase dimerisation region
PF10415,,Fumarase C C-terminus
PF10416,CL0123,Transcription-initiator DNA-binding domain IBD
PF10417,,C-terminal domain of 1-Cys peroxiredoxin
PF10418,CL0486,Iron-sulfur cluster binding domain of dihydroorotate dehydrogenase B
PF10419,,TFIIIC subunit triple barrel domain
PF10420,CL0159,Cytokine interleukin-12p40 C-terminus
PF10421,,"2'-5'-oligoadenylate synthetase 1, domain 2, C-terminus "
PF10422,,Monopolin complex subunit LRS4
PF10423,CL0408,Bacterial AMP nucleoside phosphorylase N-terminus 
PF10425,CL0204,C-terminus of bacterial fibrinogen-binding adhesin
PF10426,CL0361,Recombination-activating protein 1 zinc-finger domain
PF10427,,Argonaute hook
PF10428,,RAM signalling pathway protein
PF10429,CL0051,Nuclear pore RNA shuttling protein Mtr2
PF10430,CL0159,Tie-2 Ig-like domain 1
PF10431,CL0671,"C-terminal, D2-small domain, of ClpB protein "
PF10432,CL0067,Bacterial phospho-glucose isomerase C-terminal SIS domain
PF10433,CL0186,RSE1/DDB1/CPSF1 first beta-propeller
PF10434,,Monopolin complex protein MAM1
PF10435,CL0369,"Beta-galactosidase, domain 2"
PF10436,,Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase
PF10437,CL0233,Bacterial lipoate protein ligase C-terminus
PF10438,CL0369,Cyclo-malto-dextrinase C-terminal domain
PF10439,CL0400,Bacteriocin class II with double-glycine leader peptide
PF10440,CL0214,Ubiquitin-binding WIYLD domain
PF10441,,Urb2/Npa2 family
PF10442,,FIST C domain
PF10443,CL0023,RNA12 protein
PF10444,,Nbl1 / Borealin N terminal
PF10445,,Protein of unknown function (DUF2456)
PF10446,,Protein of unknown function (DUF2457)
PF10447,CL0021,Exosome component EXOSC1/CSL4
PF10448,,20S proteasome chaperone assembly proteins 3 and 4
PF10450,CL0408,POC1 chaperone
PF10451,CL0021,Telomere regulation protein Stn1
PF10452,,TORC1 subunit TCO89
PF10453,,FMR1-interacting protein 1 (NUFIP1)
PF10454,,Protein of unknown function (DUF2458)
PF10455,CL0145,Bin/amphiphysin/Rvs domain for vesicular trafficking
PF10456,CL0145,WASP-binding domain of Sorting nexin protein
PF10457,,Cholesterol-capturing domain
PF10458,CL0298,Valyl tRNA synthetase tRNA binding arm
PF10459,CL0124,Peptidase S46
PF10460,CL0126,Peptidase M30
PF10461,,Peptidase S68
PF10462,CL0126,Peptidase M66
PF10463,CL0126,Peptidase U49
PF10464,CL0037,Peptidase U40
PF10465,,PinA peptidase inhibitor 
PF10466,,Saccharopepsin inhibitor I34
PF10467,CL0066,Peptidase inhibitor clitocypin
PF10468,CL0075,Carboxypeptidase inhibitor I68
PF10469,CL0247,AKAP7 2'5' RNA ligase-like domain
PF10470,,PKA-RI-RII subunit binding domain of A-kinase anchor protein
PF10471,,Anaphase-promoting complex APC subunit CDC26
PF10472,,eIF2-alpha phosphatase phosphorylation constitutive repressor
PF10473,,Leucine-rich repeats of kinetochore protein Cenp-F/LEK1
PF10474,CL0020,"Syndetin, C-terminal"
PF10475,CL0020,"Vacuolar-sorting protein 54, of GARP complex "
PF10476,,Protein of unknown function C-terminus (DUF2448) 
PF10477,,Nucleocytoplasmic shuttling protein for mRNA cap-binding EIF4E
PF10480,CL0266,Beta-1 integrin binding protein
PF10481,,Cenp-F N-terminal domain
PF10482,,Tumour-suppressor protein CtIP N-terminal domain
PF10483,CL0023,Elongator subunit Iki1
PF10484,CL0172,Mitochondrial ribosomal protein S23
PF10486,,Phosphoinositide 3-kinase gamma adapter protein p101 subunit
PF10487,CL0020,"Nucleoporin Nup188, N-terminal"
PF10488,,Phosphatase-1 catalytic subunit binding region
PF10490,,Rb-binding domain of kinetochore protein Cenp-F/LEK1
PF10491,,NLS-binding and DNA-binding and dimerisation domains of Nrf1
PF10492,,Nrf1 activator activation site binding domain
PF10493,CL0020,Rough deal protein C-terminal region
PF10494,,Serine-threonine protein kinase 19
PF10495,,Pericentrin-AKAP-450 domain of centrosomal targeting protein
PF10496,,SNARE-complex protein Syntaxin-18 N-terminus 
PF10497,,Zinc-finger domain of monoamine-oxidase A repressor R1
PF10498,,Intra-flagellar transport protein 57  
PF10500,,Nuclear RNA-splicing-associated protein
PF10501,CL0314,Ribosomal subunit 39S
PF10502,CL0299,"Signal peptidase, peptidase S26 "
PF10503,CL0028,Esterase PHB depolymerase
PF10504,,Protein of unknown function (DUF2452)
PF10505,,NMDA receptor-regulated gene protein 2 C-terminus
PF10506,,"Harmonin-binding protein USHBP1, PDZ-binding domain"
PF10507,,Transmembrane protein 65 
PF10508,CL0020,Proteasome non-ATPase 26S subunit
PF10509,CL0329,Galactokinase galactose-binding signature
PF10510,,Phosphatidylinositol-glycan biosynthesis class S protein
PF10511,,Trappin protein transglutaminase binding domain
PF10512,,Cell division cycle-associated protein 8 
PF10513,,Enhancer of polycomb-like
PF10514,,"Pro-apoptotic Bcl-2 protein, BAD"
PF10515,,Beta-amyloid precursor protein C-terminus
PF10516,CL0020,SHNi-TPR
PF10517,,Electron transfer DM13
PF10518,CL0300,TAT (twin-arginine translocation) pathway signal sequence
PF10520,CL0713,Lipid desaturase domain
PF10521,,Tti2 family 
PF10522,,RII binding domain
PF10523,CL0123,BEN domain
PF10524,,Nuclear factor I protein pre-N-terminus
PF10525,,Engrailed homeobox C-terminal signature domain
PF10528,CL0301,GLEYA domain
PF10529,,Histidine-rich Calcium-binding repeat region
PF10530,CL0083,Toxin with inhibitor cystine knot ICK or Knottin scaffold
PF10531,CL0072,SLBB domain
PF10532,,Plant specific N-all beta domain
PF10533,,Plant zinc cluster domain
PF10534,,Connector enhancer of kinase suppressor of ras
PF10536,CL0874,Plant mobile domain
PF10537,,ATP-utilising chromatin assembly and remodelling N-terminal
PF10538,,Hantavirus ITAM motif
PF10539,,Development and cell death domain
PF10541,,Nuclear envelope localisation domain
PF10542,,Vitelline membrane cysteine-rich region
PF10543,,ORF6N domain
PF10544,CL0418,T5orf172 domain
PF10545,CL0123,Alcohol dehydrogenase transcription factor Myb/SANT-like
PF10546,,P63C domain
PF10547,,P22_AR N-terminal domain
PF10548,,P22AR C-terminal domain
PF10549,,ORF11CD3 domain
PF10550,,Conantokin toxin
